Time,T1,T2,U1,U2,SP1,SP2
0,20.949499999999997,20.949499999999997,21.95188537466434,21.95188537466434,21.67,21.67
5.03,20.949499999999997,20.949499999999997,100,100,24.185000000000002,24.185000000000002
10.0,21.2718,21.2718,100,100,26.67,26.67
15.01,22.561,22.561,100,100,29.175,29.175
20.03,23.850199999999997,23.850199999999997,100,100,31.685000000000002,31.685000000000002
25.03,25.784,25.784,100,100,34.185,34.185
30.04,27.717799999999997,27.717799999999997,100,100,36.69,36.69
35.02,29.973899999999997,29.973899999999997,100,100,39.18000000000001,39.18000000000001
40.04,31.9077,32.23,100,100,41.69,41.69
50.03,36.7422,36.7422,100,100,46.685,46.685
55.03,38.9983,38.9983,100,100,49.185,49.185
60.01,41.2544,41.2544,100,100,51.675,51.675
70.02,45.7666,45.7666,100,100,56.68,56.68
75.04,48.02269999999999,47.700399999999995,100,100,59.190000000000005,59.190000000000005
80.04,49.9565,49.9565,100,100,61.690000000000005,61.690000000000005
90.03,53.824099999999994,53.824099999999994,100,100,66.685,66.685
95.01,55.75789999999999,55.75789999999999,100,100,69.17500000000001,69.17500000000001
100.05,57.6917,57.6917,100,100,71.695,71.695
110.01,61.236999999999995,61.236999999999995,100,100,76.67500000000001,76.67500000000001
115.03,63.17079999999999,63.17079999999999,100,100,79.185,79.185
120.04,64.78229999999999,64.78229999999999,100,100,81.69,81.69
125.03,66.3938,66.3938,100,100,84.185,84.185
130.05,67.68299999999999,67.68299999999999,100,100,86.69500000000001,86.69500000000001
135.01,69.2945,69.2945,100,100,89.175,89.175
140.05,70.5837,70.5837,100,100,91.69500000000001,91.69500000000001
150.02,73.4844,73.4844,100,100,94.0,94.0
155.04,74.77359999999999,74.77359999999999,100,100,94.0,94.0
160.03,75.7405,75.7405,100,100,94.0,94.0
170.05,78.3189,78.3189,100,100,94.0,94.0
175.0,79.2858,79.2858,100,100,94.0,94.0
180.0,80.57499999999999,80.57499999999999,100,100,94.0,94.0
190.04,82.5088,82.5088,100,100,94.0,94.0
195.04,83.47569999999999,83.47569999999999,100,100,94.0,94.0
200.05,84.4426,84.4426,100,100,94.0,94.0
210.04,86.05409999999999,86.05409999999999,100,100,94.0,94.0
215.03,87.02099999999999,87.02099999999999,100,100,94.0,94.0
220.06,87.6656,87.6656,100,100,94.0,94.0
230.04,89.27709999999999,89.27709999999999,100,100,94.0,94.0
235.01,89.92169999999999,90.244,100,100,94.0,94.0
240.02,90.5663,90.5663,100,100,94.0,94.0
250.03,92.17779999999999,92.17779999999999,100,100,94.0,94.0
255.02,92.82239999999999,92.82239999999999,88.13091836596018,88.13091836595892,94.0,94.0
260.04,93.467,93.14469999999999,78.50566949718193,68.68597115630548,94.0,94.0
270.01,94.1116,93.7893,49.14379921060547,59.060722287527256,94.0,94.0
275.02,94.1116,94.1116,49.43547341875027,49.33824868270075,94.0,94.0
280.02,94.1116,93.7893,59.255171759625036,59.25517175962378,94.0,94.0
285.02,93.7893,93.467,68.97764536445155,68.97764536445028,94.0,94.0
290.04,93.14469999999999,93.14469999999999,78.70011896927848,78.70011896927723,94.0,94.0
300.03,92.82239999999999,92.50009999999999,14.47677200502758,14.47677200502628,91.31500000000003,91.31500000000003
305.03,92.17779999999999,92.17779999999999,0,0,88.81500000000003,88.81500000000003
310.02,91.5332,91.2109,0,0,86.32000000000002,86.32000000000002
320.01,88.95479999999999,88.6325,0,0,81.32500000000002,81.32500000000002
325.03,87.3433,87.02099999999999,0,0,78.81500000000003,78.81500000000003
330.04,85.4095,85.4095,0,0,76.31,76.31
340.05,81.8642,81.8642,0,0,71.305,71.305
345.02,79.93039999999999,79.93039999999999,0,0,68.82000000000002,68.82000000000002
